new_num,new_dir,new_street,old_num,old_dir,old_street,duplicate
1742,w,Carmen,616,w,Carmen,
1744,w,Carmen,610,w,Carmen,
1748,w,Carmen,606,w,Carmen,
1752,w,Carmen,602,w,Carmen,
2414,w,Carmen,15w,w,Carmen,
2420,w,Carmen,21w,w,Carmen,
2424,w,Carmen,23w,w,Carmen,
2426,w,Carmen,27w,w,Carmen,
2428,w,Carmen,31w,w,Carmen,
2432,w,Carmen,33w,w,Carmen,
2442,w,Carmen,41w,w,Carmen,
2444,w,Carmen,45w,w,Carmen,
2446,w,Carmen,47w,w,Carmen,
2448,w,Carmen,51w,w,Carmen,
2454,w,Carmen,55w,w,Carmen,
2458,w,Carmen,57w,w,Carmen,
2518,w,Carmen,99w,w,Carmen,
2550,w,Carmen,133w,w,Carmen,
2600,w,Carmen,135w,w,Carmen,
2608,w,Carmen,143w,w,Carmen,
2700,w,Carmen,190w,w,Carmen,
5106,w,Carmen,1789w,w,Carmen,
5142,w,Carmen,1825w,w,Carmen,
5148,w,Carmen,1831w,w,Carmen,
5150,w,Carmen,1833w,w,Carmen,
5228,w,Carmen,1877w,w,Carmen,
5236,w,Carmen,1885w,w,Carmen,
5240,w,Carmen,1889w,w,Carmen,
5256,w,Carmen,1905w,w,Carmen,
5332,w,Carmen,1949w,w,Carmen,
5348,w,Carmen,1965w,w,Carmen,
5416,w,Carmen,2001w,w,Carmen,
1217,w,Winnemac,1107,w,Winnemac,
1219,w,Winnemac,1105,w,Winnemac,
1225,w,Winnemac,1101,w,Winnemac,
1235,w,Winnemac,1089,w,Winnemac,
1239,w,Winnemac,1087,w,Winnemac,
1243,w,Winnemac,1085,w,Winnemac,
1247,w,Winnemac,1079,w,Winnemac,
1249,w,Winnemac,1077,w,Winnemac,
1251,w,Winnemac,1073,w,Winnemac,
1255,w,Winnemac,1069,w,Winnemac,
1257,w,Winnemac,1067,w,Winnemac,
1329,w,Winnemac,1031,w,Winnemac,
1333,w,Winnemac,1015,w,Winnemac,
1345,w,Winnemac,1027,w,Winnemac,
1355,w,Winnemac,1005,w,Winnemac,
1421,w,Winnemac,979,w,Winnemac,
1433,w,Winnemac,945,w,Winnemac,
1435,w,Winnemac,947,w,Winnemac,
